state,year,y_tourist_density,x1_transit_density,x2_digital_index,x3_state_score,x4_accommodation_density,x5_gdp_per_capita,y_tourist_density_log,x1_transit_density_log,x4_accommodation_density_log,x5_gdp_per_capita_log
Kelantan,2021,127.222333,0.000530,0.772100,71.330000,0.415789,14226.063570,4.853766,0.000530,0.347687,9.562901
Melaka,2021,2254.732558,0.002326,0.412900,62.670000,11.511384,41684.053760,7.721230,0.002323,2.526639,10.637898
Negeri Sembilan,2021,820.396351,0.001047,0.620800,21.670000,1.727359,39683.683770,6.711006,0.001046,1.003334,10.588721
Pahang,2021,94.669039,0.000500,0.834400,35.580000,0.947225,34617.610990,4.560895,0.000500,0.666405,10.452147
Pulau Pinang,2021,4908.694471,0.009699,0.260400,54.330000,20.209059,56967.783910,8.498967,0.009653,3.054428,10.950259
Perak,2021,213.419206,0.001284,0.643600,81.170000,0.919705,30567.214010,5.367933,0.001283,0.652172,10.327716
Perlis,2021,495.488429,0.004872,0.404800,59.670000,1.657734,20398.643950,6.207560,0.004860,0.977474,9.923273
Selangor,2021,1260.066634,0.001851,0.301800,79.830000,3.894743,49054.519940,7.139713,0.001849,1.588162,10.800708
Terengganu,2021,287.074643,0.000695,0.936500,58.080000,0.832683,30098.144700,5.663220,0.000694,0.605781,10.312252
Sabah,2021,50.121737,0.000105,0.657700,58.170000,0.377366,23149.525000,3.934210,0.000105,0.320173,10.049773
Sarawak,2021,52.317397,0.000096,0.673600,70.670000,0.238941,53371.949220,3.976263,0.000096,0.214257,10.885059
W.P. Kuala Lumpur,2021,37514.423868,0.057613,0.554200,45.000000,231.827160,105754.002020,10.532507,0.056015,5.450296,11.568880
W.P. Labuan,2021,588.160192,0.021825,1.000000,64.580000,25.993016,79684.052080,6.378698,0.021590,3.295578,11.285837
W.P. Putrajaya,2021,4551.142857,0.020408,0.523000,63.420000,37.612245,105754.002020,8.423353,0.020203,3.653569,11.568880
Johor,2022,644.258303,0.001301,0.380100,79.420000,1.815957,35342.375690,6.469651,0.001301,1.035302,10.472866
Kedah,2022,1186.612602,0.001485,0.493000,73.580000,1.894062,23569.008830,7.079700,0.001484,1.062661,10.067730
Kelantan,2022,438.913504,0.000530,0.735900,75.830000,0.412178,14713.517970,6.086578,0.000530,0.345133,9.596590
Melaka,2022,6835.561628,0.002907,0.326900,79.920000,11.351831,45190.397580,8.830040,0.002903,2.513804,10.718662
Negeri Sembilan,2022,1718.537840,0.001047,0.582700,21.330000,1.697279,42171.755940,7.449811,0.001046,0.992244,10.649530
Pahang,2022,366.716502,0.000500,0.760900,32.000000,0.962228,38249.522390,5.907312,0.000500,0.674081,10.551912
Pulau Pinang,2022,9701.973812,0.009699,0.252600,74.920000,24.112211,64495.980240,9.180188,0.009653,3.223354,11.074374
Perak,2022,692.499501,0.001284,0.632600,80.250000,0.957369,31986.512090,6.541751,0.001283,0.671601,10.373101
Perlis,2022,2033.099878,0.004872,0.312000,75.330000,1.723155,21428.423050,7.617809,0.004860,1.001791,9.972520
Selangor,2022,2713.420286,0.001851,0.269300,78.580000,4.094995,54630.128930,7.906334,0.001849,1.628259,10.908359
Terengganu,2022,789.909842,0.000695,0.864100,73.080000,0.857525,31479.723580,6.673184,0.000694,0.619245,10.357131
Sabah,2022,165.394535,0.000105,0.583600,58.250000,0.341927,24043.581950,5.114362,0.000105,0.294107,10.087665
Sarawak,2022,124.263728,0.000096,0.668200,67.330000,0.212362,56882.486760,4.830421,0.000096,0.192571,10.948760
W.P. Kuala Lumpur,2022,69598.905350,0.061728,0.496700,86.580000,228.975309,115733.585800,11.150518,0.059898,5.437972,11.659055
W.P. Labuan,2022,2659.264513,0.021825,0.548500,73.250000,26.022261,82172.456140,7.886181,0.021590,3.296661,11.316588
W.P. Putrajaya,2022,26649.142857,0.020408,0.420900,75.670000,39.530612,115733.585800,10.190550,0.020203,3.702058,11.659055
